code	description	code_group	recommended_use
0601023AD	Metformin Hydrochloride/Sitagliptin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AE	Linagliptin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AF	Linagliptin/Metformin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AG	Dapagliflozin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AH	Saxagliptin/Metformin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AI	Lixisenatide	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AJ	Alogliptin/Metformin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AK	Alogliptin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AL	Dapagliflozin/Metformin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AM	Canagliflozin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AN	Empagliflozin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AP	Canagliflozin/Metformin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AQ	Dulaglutide	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AR	Empagliflozin/Metformin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AS	Albiglutide	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AU	Ins Degludec/Liraglutide	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AV	Saxagliptin/Dapagliflozin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AW	Semaglutide	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AX	Ertugliflozin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023B0	Pioglitazone Hydrochloride	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023I0	Guar Gum	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023M0	Miglitol	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023R0	Repaglinide	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023S0	Rosiglitazone	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023T0	Troglitazone	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023U0	Nateglinide	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023V0	Metformin Hydrochloride/Rosiglitazone	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023W0	Metformin Hydrochloride/Pioglitazone	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023X0	Sitagliptin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023Y0	Exenatide	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023Z0	Metformin Hydrochloride/Vildagliptin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.

# Short-Acting Insulins
0601011A0	Insulin Aspart	Short-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601011I0	Acid Insulin Injection	Short-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601011L0	Insulin Lispro	Short-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601011N0	Soluble Insulin (Neutral Insulin)	Short-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601011P0	Insulin Glulisine	Short-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601011Q0	Insulin Human Inhaled	Short-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601011R0	Insulin Human	Short-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.

# Sulfonylureas
0601021A0	Glimepiride	Sulfonylureas	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601021B0	Acetohexamide	Sulfonylureas	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601021E0	Chlorpropamide	Sulfonylureas	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601021H0	Glibenclamide	Sulfonylureas	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601021K0	Glibornuride	Sulfonylureas	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601021M0	Gliclazide	Sulfonylureas	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601021P0	Glipizide	Sulfonylureas	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601021R0	Gliquidone	Sulfonylureas	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601021T0	Glymidine	Sulfonylureas	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601021V0	Tolazamide	Sulfonylureas	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601021X0	Tolbutamide	Sulfonylureas	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
