code	description	recommended_use
0204000T0	Sotalol Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000U0	Atenolol With Calcium Channel Blocker	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000V0	Timolol	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000W0	Metoprolol Tartrate With Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000X0	Nadolol With Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000Y0	Co-Prenozide (Oxprenolol HCl/Cyclopenth)	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000Z0	Penbutolol Sulphate With Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205010AA	Macitentan	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205010AB	Riociguat	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205010E0	Diazoxide	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205010J0	Hydralazine Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205010N0	Minoxidil	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205010T0	Sodium Nitroprusside	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205010U0	Bosentan	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205010V0	Iloprost	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205010W0	Sitaxentan Sodium	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205010X0	Ambrisentan	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205010Y0	Sildenafil(Vasodilator Antihypertensive)	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205010Z0	Tadalafil (Vasodilator Antihypertensive)	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
020502000	Other Antihypertensive Preps	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205020E0	Clonidine Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205020G0	Guanfacine Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205020H0	Methyldopa	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205020I0	Methyldopa With Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205020J0	Methyldopate Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205020M0	Moxonidine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205020N0	Reserpine And Rauwolfia Alkaloids	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205020P0	Reserp & Rauw Alk With Alkavervir	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205020Q0	Reserp & Rauw Alk With Barbiturate	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205020R0	Reserp & Rauw Alk With Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051AA	Perindopril Tosilate	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051AB	Perindopril Tosilate/Indapamide	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051AC	Perindopril + Calcium Channel Blocker	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051C0	Moexipril Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051E0	Cilazapril	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051F0	Captopril	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051G0	Co-Zidocapt (Hydchloroth/Captopril)	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051H0	Enalapril Maleate with Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051I0	Enalapril Maleate	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051J0	Fosinopril Sodium	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051K0	Lisinopril with Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051L0	Lisinopril	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051M0	Perindopril Erbumine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051N0	Perindopril Erbumine with Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051P0	Quinapril Hydrochloride with Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051Q0	Quinapril Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051R0	Ramipril	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051S0	Ramipril with Calcium Channel Blocker	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051U0	Trandolapril	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051V0	Trandolapril + Calcium Channel Blocker	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051W0	Imidapril Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051X0	Benazepril Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051Y0	Perindopril Arginine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205051Z0	Perindopril Arginine with Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052A0	Irbesartan with Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052AB	Olmesartan Medoxomil/Amlodipine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052AC	Olmesartan Medox/Amlodipine/Hydchloroth	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052AD	Azilsartan Medoxomil	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052AE	Sacubitril/Valsartan	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052B0	Olmesartan Medoxomil	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052C0	Candesartan Cilexetil	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052I0	Irbesartan	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052N0	Losartan Potassium	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052P0	Losartan Potassium With Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052Q0	Telmisartan	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052R0	Telmisartan with Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052V0	Valsartan	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052W0	Eprosartan	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052X0	Valsartan with Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0205052Y0	Olmesartan Medoxomil/Hydrochlorothiazide	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020A0	Amlodipine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020B0	Trimetazidine Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020C0	Diltiazem Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020D0	Diltiazem Hydrochloride with Thiazides	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020F0	Felodipine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020I0	Isradipine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020K0	Lacidipine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020L0	Lercanidipine Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020M0	Nimodipine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020N0	Lidoflazine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020P0	Nitrendipine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020Q0	Nicardipine Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020R0	Nifedipine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020S0	PrenylamineLactate	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020T0	Verapamil Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020V0	Perhexiline Maleate	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020W0	Nisoldipine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020X0	Mibefradil	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020Y0	Buflomedil Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0206020Z0	Valsartan/Amlodipine	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
