research_use,phenotype,ukb_table,ukb_field,coding_system,matching,expected_units,code_count,codelist
Glycaemia and diabetes monitoring,HbA1c,gp_clinical,read_3,ctv3,exact,mmol/mol or %; determine from code and value,7,phenotypes/glycaemia/gp_read3_hba1c.txt
Glycaemia and diabetes monitoring,HbA1c,gp_clinical,read_2,read_v2,exact,mmol/mol or %; determine from code and value,1,phenotypes/glycaemia/gp_read2_hba1c.txt
Glycaemia and diabetes monitoring,Insulin,gp_clinical,read_3,ctv3,exact,mU/L or pmol/L; verify source unit,4,phenotypes/glycaemia/gp_read3_insulin.txt
Glycaemia and diabetes monitoring,Insulin,gp_clinical,read_2,read_v2,exact,mU/L or pmol/L; verify source unit,1,phenotypes/glycaemia/gp_read2_insulin.txt
Kidney function and kidney damage,Creatinine,gp_clinical,read_3,ctv3,exact,umol/L; verify source unit,6,phenotypes/renal/gp_read3_creatinine.txt
Kidney function and kidney damage,Creatinine,gp_clinical,read_2,read_v2,exact,umol/L; verify source unit,2,phenotypes/renal/gp_read2_creatinine.txt
Kidney function and kidney damage,Cystatin C,gp_clinical,read_3,ctv3,exact,mg/L; verify source unit,5,phenotypes/renal/gp_read3_cystatin_c.txt
Kidney function and kidney damage,Cystatin C,gp_clinical,read_2,read_v2,exact,mg/L; verify source unit,2,phenotypes/renal/gp_read2_cystatin_c.txt
Kidney function and kidney damage,Estimated glomerular filtration rate (eGFR),gp_clinical,read_3,ctv3,exact,mL/min/1.73m2; verify equation,12,phenotypes/renal/gp_read3_egfr.txt
Kidney function and kidney damage,Estimated glomerular filtration rate (eGFR),gp_clinical,read_2,read_v2,exact,mL/min/1.73m2; verify equation,5,phenotypes/renal/gp_read2_egfr.txt
Kidney function and kidney damage,Urea,gp_clinical,read_3,ctv3,exact,mmol/L; verify source unit,8,phenotypes/renal/gp_read3_urea.txt
Kidney function and kidney damage,Urea,gp_clinical,read_2,read_v2,exact,mmol/L; verify source unit,3,phenotypes/renal/gp_read2_urea.txt
Kidney function and kidney damage,Urine albumin-creatinine ratio,gp_clinical,read_3,ctv3,exact,mg/mmol; verify source unit,9,phenotypes/renal/gp_read3_albumin_creatinine_ratio.txt
Kidney function and kidney damage,Urine albumin-creatinine ratio,gp_clinical,read_2,read_v2,exact,mg/mmol; verify source unit,2,phenotypes/renal/gp_read2_albumin_creatinine_ratio.txt
Lipid and cardiovascular-risk biomarkers,Apolipoprotein A-I,gp_clinical,read_3,ctv3,exact,g/L; verify analyte and source unit,6,phenotypes/lipids/gp_read3_apolipoprotein_a.txt
Lipid and cardiovascular-risk biomarkers,Apolipoprotein A-I,gp_clinical,read_2,read_v2,exact,g/L; verify analyte and source unit,2,phenotypes/lipids/gp_read2_apolipoprotein_a.txt
Lipid and cardiovascular-risk biomarkers,Apolipoprotein B,gp_clinical,read_3,ctv3,exact,g/L; verify source unit,6,phenotypes/lipids/gp_read3_apolipoprotein_b.txt
Lipid and cardiovascular-risk biomarkers,Apolipoprotein B,gp_clinical,read_2,read_v2,exact,g/L; verify source unit,2,phenotypes/lipids/gp_read2_apolipoprotein_b.txt
Lipid and cardiovascular-risk biomarkers,HDL cholesterol,gp_clinical,read_3,ctv3,exact,mmol/L,13,phenotypes/lipids/gp_read3_hdl_cholesterol.txt
Lipid and cardiovascular-risk biomarkers,HDL cholesterol,gp_clinical,read_2,read_v2,exact,mmol/L,6,phenotypes/lipids/gp_read2_hdl_cholesterol.txt
Lipid and cardiovascular-risk biomarkers,LDL cholesterol,gp_clinical,read_3,ctv3,exact,mmol/L,16,phenotypes/lipids/gp_read3_ldl_cholesterol.txt
Lipid and cardiovascular-risk biomarkers,LDL cholesterol,gp_clinical,read_2,read_v2,exact,mmol/L,7,phenotypes/lipids/gp_read2_ldl_cholesterol.txt
Lipid and cardiovascular-risk biomarkers,Lipoprotein(a),gp_clinical,read_3,ctv3,exact,nmol/L or mg/dL; do not convert without an assay-specific factor,2,phenotypes/lipids/gp_read3_lipoprotein_a.txt
Lipid and cardiovascular-risk biomarkers,Lipoprotein(a),gp_clinical,read_2,read_v2,exact,nmol/L or mg/dL; do not convert without an assay-specific factor,1,phenotypes/lipids/gp_read2_lipoprotein_a.txt
Lipid and cardiovascular-risk biomarkers,Total cholesterol,gp_clinical,read_3,ctv3,exact,mmol/L,7,phenotypes/lipids/gp_read3_total_cholesterol.txt
Lipid and cardiovascular-risk biomarkers,Total cholesterol,gp_clinical,read_2,read_v2,exact,mmol/L,2,phenotypes/lipids/gp_read2_total_cholesterol.txt
Lipid and cardiovascular-risk biomarkers,Triglycerides,gp_clinical,read_3,ctv3,exact,mmol/L,5,phenotypes/lipids/gp_read3_triglycerides.txt
Lipid and cardiovascular-risk biomarkers,Triglycerides,gp_clinical,read_2,read_v2,exact,mmol/L,2,phenotypes/lipids/gp_read2_triglycerides.txt
Liver biomarkers,Alanine aminotransferase (ALT),gp_clinical,read_3,ctv3,exact,U/L,9,phenotypes/liver/gp_read3_alanine_aminotransferase.txt
Liver biomarkers,Alanine aminotransferase (ALT),gp_clinical,read_2,read_v2,exact,U/L,3,phenotypes/liver/gp_read2_alanine_aminotransferase.txt
Liver biomarkers,Alkaline phosphatase (ALP),gp_clinical,read_3,ctv3,exact,U/L,7,phenotypes/liver/gp_read3_alkaline_phosphatase.txt
Liver biomarkers,Alkaline phosphatase (ALP),gp_clinical,read_2,read_v2,exact,U/L,2,phenotypes/liver/gp_read2_alkaline_phosphatase.txt
Liver biomarkers,Aspartate aminotransferase (AST),gp_clinical,read_3,ctv3,exact,U/L,10,phenotypes/liver/gp_read3_aspartate_aminotransferase.txt
Liver biomarkers,Aspartate aminotransferase (AST),gp_clinical,read_2,read_v2,exact,U/L,3,phenotypes/liver/gp_read2_aspartate_aminotransferase.txt
Liver biomarkers,Bilirubin,gp_clinical,read_3,ctv3,exact,umol/L; distinguish total and direct,15,phenotypes/liver/gp_read3_bilirubin.txt
Liver biomarkers,Bilirubin,gp_clinical,read_2,read_v2,exact,umol/L; distinguish total and direct,5,phenotypes/liver/gp_read2_bilirubin.txt
Liver biomarkers,Gamma-glutamyl transferase (GGT),gp_clinical,read_3,ctv3,exact,U/L,8,phenotypes/liver/gp_read3_gamma_glutamyl_transferase.txt
Liver biomarkers,Gamma-glutamyl transferase (GGT),gp_clinical,read_2,read_v2,exact,U/L,2,phenotypes/liver/gp_read2_gamma_glutamyl_transferase.txt
Liver biomarkers,Serum albumin,gp_clinical,read_3,ctv3,exact,g/L; verify source unit,6,phenotypes/liver/gp_read3_albumin.txt
Liver biomarkers,Serum albumin,gp_clinical,read_2,read_v2,exact,g/L; verify source unit,2,phenotypes/liver/gp_read2_albumin.txt
Other cardiometabolic biomarkers,25-hydroxyvitamin D,gp_clinical,read_3,ctv3,exact,nmol/L; prefer total 25-hydroxyvitamin D,5,phenotypes/metabolic/gp_read3_vitamin_d.txt
Other cardiometabolic biomarkers,25-hydroxyvitamin D,gp_clinical,read_2,read_v2,exact,nmol/L; prefer total 25-hydroxyvitamin D,2,phenotypes/metabolic/gp_read2_vitamin_d.txt
Other cardiometabolic biomarkers,Calcium,gp_clinical,read_3,ctv3,exact,mmol/L; distinguish corrected and uncorrected,11,phenotypes/metabolic/gp_read3_calcium.txt
Other cardiometabolic biomarkers,Calcium,gp_clinical,read_2,read_v2,exact,mmol/L; distinguish corrected and uncorrected,4,phenotypes/metabolic/gp_read2_calcium.txt
Other cardiometabolic biomarkers,Phosphate,gp_clinical,read_3,ctv3,exact,mmol/L; verify source unit,6,phenotypes/metabolic/gp_read3_phosphate.txt
Other cardiometabolic biomarkers,Phosphate,gp_clinical,read_2,read_v2,exact,mmol/L; verify source unit,1,phenotypes/metabolic/gp_read2_phosphate.txt
Other cardiometabolic biomarkers,Urate,gp_clinical,read_3,ctv3,exact,umol/L; verify source unit,10,phenotypes/metabolic/gp_read3_urate.txt
Other cardiometabolic biomarkers,Urate,gp_clinical,read_2,read_v2,exact,umol/L; verify source unit,3,phenotypes/metabolic/gp_read2_urate.txt
Systemic inflammation,C-reactive protein (CRP),gp_clinical,read_3,ctv3,exact,mg/L,7,phenotypes/inflammation/gp_read3_c_reactive_protein.txt
Systemic inflammation,C-reactive protein (CRP),gp_clinical,read_2,read_v2,exact,mg/L,1,phenotypes/inflammation/gp_read2_c_reactive_protein.txt
Thyroid function and autoimmunity,Free T3,gp_clinical,read_3,ctv3,exact,pmol/L; verify source unit,8,phenotypes/thyroid/gp_read3_free_t3.txt
Thyroid function and autoimmunity,Free T3,gp_clinical,read_2,read_v2,exact,pmol/L; verify source unit,3,phenotypes/thyroid/gp_read2_free_t3.txt
Thyroid function and autoimmunity,Free T4,gp_clinical,read_3,ctv3,exact,pmol/L; verify source unit,8,phenotypes/thyroid/gp_read3_free_t4.txt
Thyroid function and autoimmunity,Free T4,gp_clinical,read_2,read_v2,exact,pmol/L; verify source unit,3,phenotypes/thyroid/gp_read2_free_t4.txt
Thyroid function and autoimmunity,Thyroglobulin antibody,gp_clinical,read_3,ctv3,exact,IU/mL or kIU/L; verify assay,3,phenotypes/thyroid/gp_read3_thyroglobulin_antibody.txt
Thyroid function and autoimmunity,Thyroid peroxidase antibody,gp_clinical,read_3,ctv3,exact,IU/mL or kIU/L; verify assay,5,phenotypes/thyroid/gp_read3_thyroid_peroxidase_antibody.txt
Thyroid function and autoimmunity,Thyroid peroxidase antibody,gp_clinical,read_2,read_v2,exact,IU/mL or kIU/L; verify assay,2,phenotypes/thyroid/gp_read2_thyroid_peroxidase_antibody.txt
Thyroid function and autoimmunity,Thyroid-stimulating hormone (TSH),gp_clinical,read_3,ctv3,exact,mIU/L; verify source unit,13,phenotypes/thyroid/gp_read3_tsh.txt
Thyroid function and autoimmunity,Thyroid-stimulating hormone (TSH),gp_clinical,read_2,read_v2,exact,mIU/L; verify source unit,3,phenotypes/thyroid/gp_read2_tsh.txt
